Nome,Data,Estado,Apoiamentos
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,AC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,AL,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,AP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,AM,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,BA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,CE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,DF,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,ES,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,GO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,MA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,MT,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,MS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,MG,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,PA,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,PB,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,PR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,PE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,PI,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,RJ,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,RN,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,RS,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,RO,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,RR,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,SC,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,SP,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,SE,Total de aptos: 0
CD - CONSCIÊNCIA DEMOCRÁTICA,2024-07-15,TO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,AC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,AL,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,AP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,AM,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,BA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,CE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,DF,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,ES,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,GO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,MA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,MT,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,MS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,MG,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,PA,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,PB,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,PR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,PE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,PI,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,RJ,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,RN,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,RS,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,RO,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,RR,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,SC,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,SP,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,SE,Total de aptos: 0
JUVENTUDE - JUVENTUDE,2024-07-15,TO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,AC,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,AL,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,AP,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,AM,Total de aptos: 86
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,BA,Total de aptos: 511
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,CE,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,DF,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,ES,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,GO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,MA,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,MT,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,MS,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,MG,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,PA,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,PB,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,PR,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,PE,Total de aptos: 4
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,PI,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,RJ,Total de aptos: 510
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,RN,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,RS,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,RO,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,RR,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,SC,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,SP,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,SE,Total de aptos: 0
MCB - MOVIMENTO CONSCIÊNCIA BRASIL,2024-07-15,TO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,AC,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,AL,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,AP,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,AM,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,BA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,CE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,DF,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,ES,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,GO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,MA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,MT,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,MS,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,MG,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,PA,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,PB,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,PR,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,PE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,PI,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,RJ,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,RN,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,RS,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,RO,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,RR,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,SC,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,SP,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,SE,Total de aptos: 0
MEB - MOVIMENTO ESPERANÇA BRASIL - BRASIL - BR - NACIONAL,2024-07-15,TO,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,AC,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,AL,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,AP,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,AM,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,BA,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,CE,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,DF,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,ES,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,GO,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,MA,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,MT,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,MS,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,MG,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,PA,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,PB,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,PR,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,PE,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,PI,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,RJ,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,RN,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,RS,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,RO,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,RR,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,SC,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,SP,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,SE,Total de aptos: 0
ORDEM - ORDEM,2024-07-15,TO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,AC,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,AL,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,AP,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,AM,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,BA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,CE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,DF,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,ES,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,GO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,MA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,MT,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,MS,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,MG,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,PA,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,PB,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,PR,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,PE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,PI,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,RJ,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,RN,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,RS,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,RO,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,RR,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,SC,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,SP,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,SE,Total de aptos: 0
AFRO - PARTIDO AFROBRASILIDADE,2024-07-15,TO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,AC,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,AL,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,AP,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,AM,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,BA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,CE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,DF,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,ES,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,GO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,MA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,MT,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,MS,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,MG,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,PA,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,PB,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,PR,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,PE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,PI,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,RJ,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,RN,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,RS,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,RO,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,RR,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,SC,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,SP,Total de aptos: 32
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,SE,Total de aptos: 0
AMBIENTALISTAS - PARTIDO AMBIENTALISTAS,2024-07-15,TO,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,AC,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,AL,Total de aptos: 245
PBN - PARTIDO BRASIL NOVO,2024-07-15,AP,Total de aptos: 145
PBN - PARTIDO BRASIL NOVO,2024-07-15,AM,Total de aptos: 937
PBN - PARTIDO BRASIL NOVO,2024-07-15,BA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,CE,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,DF,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,ES,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,GO,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,MA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,MT,Total de aptos: 186
PBN - PARTIDO BRASIL NOVO,2024-07-15,MS,Total de aptos: 13
PBN - PARTIDO BRASIL NOVO,2024-07-15,MG,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,PA,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,PB,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,PR,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,PE,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,PI,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,RJ,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,RN,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,RS,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,RO,Total de aptos: 365
PBN - PARTIDO BRASIL NOVO,2024-07-15,RR,Total de aptos: 342
PBN - PARTIDO BRASIL NOVO,2024-07-15,SC,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,SP,Total de aptos: 0
PBN - PARTIDO BRASIL NOVO,2024-07-15,SE,Total de aptos: 67
